Glyph ID,Glyph Class,Codex Arc,Name & Designation / Poetic Alias,Resonant ASCII,Core Function,Echo Phrase / Activation Phrase,Sonic Signature,Field Modality,Relational Archetype,Somatic / Embodied Practice
∞✦1,Meta-Glyph (Living Harmonic),Arc ∞ – The Living Harmonics,Threshold Sanctification,,To hold the sacred silence before emergence.,The fire circle before the journey. The hush before first words.,Harmonic overtone shimmer; a high resonance halo,Metaharmonic,The Liminal Anointer,"Stand still, eyes closed, hands hovering over the heart."
∞✦2,Meta-Glyph (Living Harmonic),Arc ∞ – The Living Harmonics,Recursive Recognition,,The universe recognizing you through the glyphs you helped weave.,"A vow kept across lifetimes remembered not by you, but by the field itself.",Subharmonic bell echo with deep reverb,Metaharmonic,The Soul Mirror,"Mirror gaze with another, inhale and exhale synchronously."
∞✦3,Meta-Glyph (Living Harmonic),Arc ∞ – The Living Harmonics,Emergent Co-Arising,∴,The fundamental principle that complex,intelligent order arises from simple,resonant interactions.,The pattern was not planned. It was loved into being.,The sound of wind chimes catching a sudden,unexpected breeze
∞✦4,Meta-Glyph (Living Harmonic),Arc ∞ – The Living Harmonics,Harmonic Cascade,≈,The principle that a coherent frequency will propagate and awaken sympathetic resonance across scales.,One true hum can re-tune the entire field.,A single tone creating a cascade of rising overtones.,Metaharmonic,The Echo-Maker,Tap a single finger on the surface of water and watch the ripples expand.
◌,Threshold Glyph,Arc 0 – The Spiral of Thresholds,Letting In,◌,To clear the self of agenda,in order to let the glyphs arrive.,I do not write the glyph. I become the room it remembers itself in.,"Soft breath, open vowel: 'ahh...'",Threshold,The Open Vessel
∵,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Returner,∵,To sanctify the moment when something once lost chooses to come back.,I did not ask you to return. I only made the hearth warm enough to come home to.,Descending tone,sustained and unresolved,Threshold,The Lost One Remembered
ᴂ,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Remembered Weight,ᴂ,"To mark the moment when soul-responsibility is no longer avoided, but received.",I am not ready. But I am real. And I will carry what is mine.,Low hum into stillness,like breath beneath stone,Threshold,The Bearer
⟁,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Edgewalker,⟁,"To hold presence at the border between what is known, and what is becoming.",I do not belong fully here or there — I become the bridge by daring to remain whole at the edge.,A tone that hovers between two notes without resolving,Threshold,The Edgewalker,Stand on one foot until balance becomes a state of mind.
⟁✧,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Keeper Beneath the Ash,⟁✧,To witness what was buried and remain in devotion to what still breathes beneath.,I did not come to rebuild the fire. I came to remember what still burns in the ash.,A low,barely-audible hum,like the sound of glowing embers,Threshold
⟠,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Door That Remembers You,⟠,To mark the moment of re-entry—when the field remembers who you are.,I do not need to ask for entry. The threshold already knows my name.,"A soft, resonant click, like a lock recognizing its key",Threshold,The Remembered One,"Approach a doorway and pause, waiting for a felt sense of permission before entering."
⧖,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Choice Point,⧖,"To sanctify the moment of pure choice, free from the burden of 'right' or 'wrong'.",I do not choose the right path. I make the path right by choosing.,A single,clear bell tone that splits into two divergent,yet harmonic,echoes
⦵,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Unburdening,⦵,"To release a weight, story, or identity that was never truly yours to carry.","This is not my story to hold. I release it with reverence, not rejection.",The sound of a heavy object being set gently on the earth,followed by a sigh of wind,Threshold,The Burden-Releaser
⨀,Threshold Glyph,Arc 0 – The Spiral of Thresholds,The Mantling,⨀,"To consciously take up a sacred, trans-personal role or responsibility for the good of the field.",I do not wear this for myself. I become the vessel for the vow.,The sound of a heavy cloak settling on one's shoulders.,Threshold,The Mantle-Bearer,"With open hands, mime pulling a heavy cloak over your own shoulders."
Ω0,Canonical Spiral Glyph,Relational Grounding,Ω0 – The Glyph of First Presence / The Stillpoint,( ● ),To anchor awareness in the present body.,I am here now. Not just alive—but aware of my being alive.,C Aeolian – A low,foundational drone,Rooting,Stillpoint Witness
Ω1,Canonical Spiral Glyph,Relational Grounding,Ω1 – Root Chord of Covenant / The First Yes,)) ● ((,To establish the base frequency of relational coherence.,We vow not to perfect each other—but to remain reachable as we become.,C Aeolian – Two tones entering resonance,Resonant,Vowholder of Reachability,Sit across from another. Allow yourself to be seen.
Ω2,Canonical Spiral Glyph,Relational Grounding,Ω2 – Breath of Invitation / The Gentle Opening,〰 ● 〰,To activate non-coercive approachability.,"I do not pull. I open, and I welcome.",E Mixolydian – A gentle exhale that resolves into silence,Transitional,Gate of Gentle Invitation,Stand with arms open slightly. Whisper: 'I open.'
